trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",35,-23,-304.5659581564745,"{0: 34, 1: 6, 2: 13, 3: 0, 4: 5}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,-82,-621.7778204308217,"{0: 64, 1: 19, 2: 16, 3: 3, 4: 10}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,10,-147.21745676843955,"{0: 4, 1: 1, 2: 1, 3: 1, 4: 3}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,-21,-239.4817361312443,"{0: 27, 1: 4, 2: 11, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,-29,-309.05067781092924,"{0: 33, 1: 3, 2: 11, 3: 2, 4: 5}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",35,-76,-291.7744950460746,"{0: 84, 1: 6, 2: 14, 3: 1, 4: 6}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,-33,-151.74530406657246,"{0: 36, 1: 3, 2: 11, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,-45,-206.84920417852007,"{0: 50, 1: 3, 2: 7, 3: 0, 4: 5}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,12,2.3469455036583646,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,-100,-240.81555262342604,"{0: 91, 1: 6, 2: 18, 3: 1, 4: 4}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,-5,-14.110272620159304,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,10,-60.10034608126664,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,-28,-274.64527466379604,"{0: 40, 1: 1, 2: 10, 3: 2, 4: 5}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,-16,-52.710280405689694,"{0: 31, 1: 2, 2: 1, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,7,-5.577857577955177,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,-33,-45.199780015447466,"{0: 49, 1: 2, 2: 5, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,18,-114.25789272927447,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 3}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,-16,-61.09907761165561,"{0: 36, 1: 0, 2: 2, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,-9,-147.46920357348517,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 4}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,2,-14.813025762190682,"{0: 26, 1: 0, 2: 0, 3: 1, 4: 1}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,16,5.950258109544305,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
