trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.36787944117144233}",20,-22,-260.93117214673555,"{0: 25, 1: 0, 2: 12, 3: 1, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.22313016014842982}",25,-11,-189.89821589083815,"{0: 23, 1: 1, 2: 8, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.1353352832366127}",25,-8,-19.72487979083568,"{0: 28, 1: 0, 2: 4, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.0820849986238988}",20,-21,-113.97760878286529,"{0: 34, 1: 0, 2: 4, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.049787068367863944}",20,-2,-46.1954888741888,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.0301973834223185}",20,-7,-31.74519005642192,"{0: 22, 1: 0, 2: 4, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.01831563888873418}",20,-31,-99.26460231867942,"{0: 45, 1: 0, 2: 2, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.011108996538242306}",20,-65,-70.75041945741619,"{0: 78, 1: 0, 2: 3, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.006737946999085467}",20,-37,-186.47227239950973,"{0: 46, 1: 0, 2: 5, 3: 2, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0.004086771438464067}",20,-76,-3.6268735537684424,"{0: 91, 1: 0, 2: 2, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.0024787521766663585}",20,14,9.987293909265219,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.0015034391929775724}",25,-100,-58.587557506194265,"{0: 117, 1: 0, 2: 3, 3: 1, 4: 4}",0
13,False,"{'a': 0.5, 'e': 0.0009118819655545162}",20,-100,-166.82130203290131,"{0: 107, 1: 0, 2: 7, 3: 0, 4: 6}",0
14,False,"{'a': 0.5, 'e': 0.0005530843701478336}",30,-24,-20.700955328098054,"{0: 51, 1: 0, 2: 1, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.00033546262790251185}",30,-72,104.09876374691848,"{0: 99, 1: 0, 2: 3, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.00020346836901064417}",25,-54,48.96704118943876,"{0: 75, 1: 0, 2: 3, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.00012340980408667956}",30,-64,-62.135372822157024,"{0: 87, 1: 0, 2: 3, 3: 1, 4: 3}",0
18,False,"{'a': 0.5, 'e': 7.48518298877006e-05}",30,-72,54.53223379952413,"{0: 97, 1: 0, 2: 4, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 4.5399929762484854e-05}",20,-100,71.6814992356345,"{0: 115, 1: 0, 2: 3, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 2.7536449349747158e-05}",20,-5,-8.021358902879236,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,-100,-179.50460539170422,"{0: 109, 1: 0, 2: 1, 3: 4, 4: 6}",0
