trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,-100,-867.9234851342869,"{0: 70, 1: 0, 2: 29, 3: 9, 4: 12}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,-52,-338.72964419043524,"{0: 46, 1: 0, 2: 20, 3: 2, 4: 4}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,-100,-951.8694753034828,"{0: 65, 1: 0, 2: 40, 3: 8, 4: 12}",0
4,False,"{'a': 0.5, 'e': 1.0}",35,-100,-961.848678100497,"{0: 79, 1: 0, 2: 32, 3: 11, 4: 13}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,-100,-854.9380819517135,"{0: 73, 1: 0, 2: 27, 3: 6, 4: 14}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,1,-154.38761751855412,"{0: 16, 1: 0, 2: 10, 3: 2, 4: 1}",1
7,False,"{'a': 0.5, 'e': 1.0}",25,-64,-629.5863484217908,"{0: 55, 1: 0, 2: 18, 3: 6, 4: 10}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,-77,-691.2376373062268,"{0: 59, 1: 0, 2: 29, 3: 4, 4: 10}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,-67,-736.7523797089359,"{0: 52, 1: 0, 2: 27, 3: 9, 4: 9}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,-67,-394.45388013988145,"{0: 61, 1: 0, 2: 22, 3: 5, 4: 4}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,-100,-768.8325496333429,"{0: 66, 1: 0, 2: 41, 3: 4, 4: 9}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,-9,-242.56000006440104,"{0: 23, 1: 0, 2: 5, 3: 1, 4: 5}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,5,-42.79638837774503,"{0: 10, 1: 0, 2: 4, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 1.0}",20,5,-123.26924933251638,"{0: 6, 1: 0, 2: 7, 3: 1, 4: 1}",1
15,False,"{'a': 0.5, 'e': 1.0}",20,-100,-618.4430038764505,"{0: 73, 1: 0, 2: 34, 3: 7, 4: 6}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,-47,-677.930695082532,"{0: 36, 1: 0, 2: 24, 3: 10, 4: 7}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,-100,-696.8549909904277,"{0: 76, 1: 0, 2: 36, 3: 4, 4: 9}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,-60,-520.5463450524097,"{0: 53, 1: 0, 2: 19, 3: 6, 4: 7}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,-46,-517.5471210720531,"{0: 34, 1: 0, 2: 22, 3: 3, 4: 7}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,10,-49.55957679646556,"{0: 6, 1: 0, 2: 2, 3: 2, 4: 0}",1
1,True,"{'a': 0.5, 'e': 1.0}",25,16,-53.1986496118508,"{0: 5, 1: 0, 2: 2, 3: 2, 4: 0}",1
